date,region,product,sales,profit
2024-01-01,인천,A,675,155
2024-01-02,광주,A,921,29
2024-01-02,부산,D,143,96
2024-01-02,서울,A,383,116
2024-01-02,광주,C,119,155
2024-01-02,서울,B,935,182
2024-01-02,부산,B,386,14
2024-01-04,부산,D,377,23
2024-01-04,서울,D,955,85
2024-01-04,대구,D,449,34
2024-01-05,서울,D,720,45
2024-01-05,서울,C,481,149
2024-01-05,광주,D,459,20
2024-01-05,서울,C,218,17
2024-01-05,대구,A,870,160
2024-01-06,서울,D,649,170
2024-01-06,광주,B,882,66
2024-01-06,인천,B,553,118
2024-01-07,서울,A,629,74
2024-01-07,서울,B,989,15
2024-01-08,인천,C,126,108
2024-01-08,인천,D,753,176
2024-01-08,서울,D,856,52
2024-01-08,광주,B,454,15
2024-01-08,광주,B,375,99
2024-01-08,부산,C,498,113
2024-01-09,부산,B,870,61
2024-01-09,서울,A,927,127
2024-01-10,인천,D,151,68
2024-01-10,서울,B,376,98
2024-01-10,인천,C,337,21
2024-01-10,부산,C,857,112
2024-01-10,광주,A,891,157
2024-01-11,서울,D,403,109
2024-01-12,서울,A,668,158
2024-01-12,대구,A,367,58
2024-01-12,광주,A,653,131
2024-01-12,부산,D,386,154
2024-01-13,서울,D,149,162
2024-01-13,부산,B,479,63
2024-01-13,서울,B,315,84
2024-01-13,서울,C,678,188
2024-01-14,부산,A,995,186
2024-01-14,인천,B,315,105
2024-01-15,대구,B,168,74
2024-01-15,부산,D,460,91
2024-01-15,인천,C,561,125
2024-01-15,대구,B,756,99
2024-01-15,서울,B,621,34
2024-01-15,광주,A,403,103
2024-01-16,대구,B,221,149
2024-01-17,부산,B,374,119
2024-01-17,인천,A,657,34
2024-01-17,서울,D,957,190
2024-01-18,부산,D,701,113
2024-01-18,광주,D,311,100
2024-01-18,인천,D,976,37
2024-01-19,인천,D,524,76
2024-01-19,인천,C,360,73
2024-01-19,인천,D,353,125
2024-01-20,인천,D,439,124
2024-01-20,광주,D,625,158
2024-01-20,대구,C,869,144
2024-01-21,부산,A,327,78
2024-01-21,대구,D,192,114
2024-01-22,부산,C,833,186
2024-01-22,인천,A,682,159
2024-01-23,인천,D,740,91
2024-01-23,부산,A,153,146
2024-01-24,서울,B,217,55
2024-01-24,대구,D,735,60
2024-01-24,인천,C,208,70
2024-01-24,광주,B,556,185
2024-01-24,인천,A,316,93
2024-01-24,부산,A,399,113
2024-01-25,부산,D,416,146
2024-01-25,인천,A,756,115
2024-01-25,서울,D,411,140
2024-01-25,인천,A,308,132
2024-01-26,대구,C,370,45
2024-01-26,광주,B,887,92
2024-01-26,대구,A,850,154
2024-01-26,부산,A,478,122
2024-01-27,광주,C,742,19
2024-01-27,부산,C,245,89
2024-01-27,광주,D,877,43
2024-01-29,인천,C,778,180
2024-01-29,서울,C,378,112
2024-01-29,광주,D,887,55
2024-01-30,부산,A,291,124
2024-01-30,대구,A,648,61
2024-01-30,서울,D,577,104
2024-01-31,인천,C,458,175
2024-02-01,부산,D,331,64
2024-02-02,광주,D,527,152
2024-02-03,인천,B,971,193
2024-02-03,부산,D,638,153
2024-02-03,대구,C,518,108
2024-02-04,부산,B,905,60
2024-02-04,인천,B,589,71
2024-02-05,서울,A,925,82
2024-02-05,서울,A,844,138
2024-02-05,부산,A,565,150
2024-02-05,인천,C,640,19
2024-02-06,인천,D,349,54
2024-02-06,서울,C,734,84
2024-02-08,광주,D,668,46
2024-02-08,광주,B,439,62
2024-02-10,부산,D,301,107
2024-02-10,부산,A,948,32
2024-02-10,인천,B,272,199
2024-02-10,부산,D,498,72
2024-02-10,서울,A,917,51
2024-02-11,대구,B,694,20
2024-02-11,인천,D,591,13
